
28-01-2017 17:40:06:495 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:2, Key:A)
28-01-2017 17:40:06:700 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:20, Y:20, Key:B)
28-01-2017 17:40:06:700 - D: 	Beginning round processing
28-01-2017 17:40:06:701 - D: 	Removing Bomb Explosions from map
28-01-2017 17:40:06:701 - D: 	Decreasing Bomb Timers
28-01-2017 17:40:06:701 - D: 	Detonating Bombs
28-01-2017 17:40:06:701 - I: 	Detonating Bomb BombEntity(X:19, Y:18, Radius:1, Timer:0, Owner:B)
28-01-2017 17:40:06:701 - D: 	Processing Player Commands
28-01-2017 17:40:06:701 - I: 	Trying to move player A to destination Location(X:2,Y:3)
28-01-2017 17:40:06:701 - I: 	Trying to move player B to destination Location(X:19,Y:20)
28-01-2017 17:40:06:701 - D: 	Applying player power ups
28-01-2017 17:40:06:701 - D: 	Destroying marked entities
28-01-2017 17:40:06:701 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:18)
28-01-2017 17:40:06:701 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 1,78% for the map
28-01-2017 17:40:06:701 - I: 	Player PlayerEntity(X:19, Y:20, Key:B) has a movement coverage of 1,78% for the map
28-01-2017 17:40:06:701 - D: 	Round processing complete
