
28-01-2017 17:40:07:952 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:3, Y:4, Key:A)
28-01-2017 17:40:08:147 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:19, Key:B)
28-01-2017 17:40:08:147 - D: 	Beginning round processing
28-01-2017 17:40:08:147 - D: 	Removing Bomb Explosions from map
28-01-2017 17:40:08:147 - D: 	Decreasing Bomb Timers
28-01-2017 17:40:08:147 - D: 	Detonating Bombs
28-01-2017 17:40:08:147 - D: 	Processing Player Commands
28-01-2017 17:40:08:147 - I: 	Trying to move player A to destination Location(X:4,Y:4)
28-01-2017 17:40:08:147 - I: 	Trying to move player B to destination Location(X:18,Y:18)
28-01-2017 17:40:08:147 - D: 	Applying player power ups
28-01-2017 17:40:08:147 - D: 	Destroying marked entities
28-01-2017 17:40:08:147 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 2,14% for the map
28-01-2017 17:40:08:147 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 2,85% for the map
28-01-2017 17:40:08:147 - D: 	Round processing complete
