
28-01-2017 17:40:06:992 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:3, Key:A)
28-01-2017 17:40:07:202 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:20, Key:B)
28-01-2017 17:40:07:202 - D: 	Beginning round processing
28-01-2017 17:40:07:202 - D: 	Removing Bomb Explosions from map
28-01-2017 17:40:07:202 - D: 	Decreasing Bomb Timers
28-01-2017 17:40:07:202 - D: 	Detonating Bombs
28-01-2017 17:40:07:202 - D: 	Processing Player Commands
28-01-2017 17:40:07:202 - I: 	Trying to move player A to destination Location(X:2,Y:4)
28-01-2017 17:40:07:202 - I: 	Trying to move player B to destination Location(X:18,Y:20)
28-01-2017 17:40:07:202 - D: 	Applying player power ups
28-01-2017 17:40:07:202 - D: 	Destroying marked entities
28-01-2017 17:40:07:202 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,78% for the map
28-01-2017 17:40:07:202 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 2,14% for the map
28-01-2017 17:40:07:202 - D: 	Round processing complete
