
28-01-2017 17:40:08:903 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:4, Key:A)
28-01-2017 17:40:09:127 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:18, Key:B)
28-01-2017 17:40:09:127 - D: 	Beginning round processing
28-01-2017 17:40:09:127 - D: 	Removing Bomb Explosions from map
28-01-2017 17:40:09:127 - D: 	Decreasing Bomb Timers
28-01-2017 17:40:09:127 - D: 	Detonating Bombs
28-01-2017 17:40:09:127 - D: 	Processing Player Commands
28-01-2017 17:40:09:127 - I: 	Trying to move player A to destination Location(X:4,Y:5)
28-01-2017 17:40:09:127 - I: 	Trying to move player B to destination Location(X:18,Y:17)
28-01-2017 17:40:09:127 - D: 	Applying player power ups
28-01-2017 17:40:09:127 - D: 	Destroying marked entities
28-01-2017 17:40:09:127 - I: 	Player PlayerEntity(X:4, Y:5, Key:A) has a movement coverage of 2,49% for the map
28-01-2017 17:40:09:127 - I: 	Player PlayerEntity(X:18, Y:17, Key:B) has a movement coverage of 3,20% for the map
28-01-2017 17:40:09:127 - D: 	Round processing complete
