
28-01-2017 17:40:05:982 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:3, Y:2, Key:A)
28-01-2017 17:40:06:194 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:20, Y:19, Key:B)
28-01-2017 17:40:06:194 - D: 	Beginning round processing
28-01-2017 17:40:06:194 - D: 	Removing Bomb Explosions from map
28-01-2017 17:40:06:194 - D: 	Decreasing Bomb Timers
28-01-2017 17:40:06:194 - D: 	Detonating Bombs
28-01-2017 17:40:06:194 - D: 	Processing Player Commands
28-01-2017 17:40:06:194 - I: 	Trying to move player A to destination Location(X:2,Y:2)
28-01-2017 17:40:06:194 - I: 	Trying to move player B to destination Location(X:20,Y:20)
28-01-2017 17:40:06:194 - D: 	Applying player power ups
28-01-2017 17:40:06:194 - D: 	Destroying marked entities
28-01-2017 17:40:06:194 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 1,78% for the map
28-01-2017 17:40:06:194 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 1,78% for the map
28-01-2017 17:40:06:194 - D: 	Round processing complete
